step,success_rate,mean_ep_length,mean_return,policy_loss,value_loss,entropy,grad_norm,wall_time_sec
2048,0.0,128.0,0.0,-0.007027021475369111,0.06427038771798835,1.7814942009747028,1.5603113480843604,5.56
12288,0.0,128.0,0.0,-0.03227332866226788,0.00657897899436648,1.72821595184505,1.0826108895242215,18.5
22528,1.0,11.0,0.9226562499999998,-0.03490007893997245,0.010346143445349298,1.3922992426902057,1.5802635418251156,29.85
